figure_id,What is the level of RNA expression?,What is the level of protein expression?,"If there is RNA expression, what patterns does the RNA make?","If there is protein expression, what patterns does the protein make?",Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in soma?,Is protein present in soma?,Is RNA present in neuropil?,Is protein present in neuropil?,Is figure quality too poor?,General comments
2138881,High,High,Evenly distributed,"Diffuse	Large aggregations",High,High,Yes,No,Yes,Yes,No,Yes,No,
2138423,Moderate,Moderate,Evenly distributed,Cytoplasmic,Moderate,Moderate,Yes,No,Yes,Yes,No,Yes,No,
2138794,High,Moderate,Evenly distributed,Cytoplasmic,Moderate,High,Yes,No,Yes,Yes,No,No,No,I said there is obvious RNA/protein discordance because there is protein expression in some cell somata but not most of them while there is RNA expression in all of them.
2138440,None,None,,,None,None,No,No,N/A,No,N/A,No,No,
2137795,Moderate,High,Single transcripts,Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,No,Yes,No,
2138507,High,High,Evenly distributed,"Diffuse	Cytoplasmic",Moderate,High,No,No,Yes,Yes,No,Yes,No,
2138419,High,High,More in some cells than others,"Punctate	Cytoplasmic",High,High,No,Yes,Yes,Yes,No,Yes,No,
2138515,High,Moderate,Evenly distributed,Cytoplasmic,Moderate,High,No,No,Yes,Yes,No,Yes,No,
2138339,None,Low,,Cytoplasmic,None,None,Yes,No,No,Yes,No,Yes,No,
2138327,High,High,Evenly distributed,Cytoplasmic,High,High,No,No,Yes,Yes,No,No,No,
2138675,None,None,,,None,None,No,No,N/A,No,N/A,No,No,
2138911,Low,Low,Single transcripts,Cytoplasmic,Low,Low,Yes,No,Yes,No,No,Yes,No,
2138704,High,Moderate,Evenly distributed,Cytoplasmic,Low,High,Yes,No,Yes,Yes,No,No,No,"There is protein expression in some cell somata but not others, whereas RNA distribution is more even."
2138381,None,Low,,,None,None,Yes,No,No,Yes,No,Yes,No,
2137810,High,High,More in some cells than others,"Diffuse	Cytoplasmic",High,High,Yes,No,Yes,Yes,No,Yes,No,discordance in neuropil
2138732,Moderate,None,More in some cells than others,,High,Moderate,Yes,No,Yes,No,No,No,No,
2138000,Moderate,High,Evenly distributed,Cytoplasmic,Low,Moderate,Yes,No,Yes,Yes,No,Yes,No,
2138651,Moderate,Low,Evenly distributed,Cytoplasmic,Low,Moderate,No,No,Yes,Yes,No,No,No,
