,figure_id,What is the level of RNA expression?,What is the level of protein expression?,What patterns does the RNA make?,What patterns does the protein make?,Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in nerve?,Is protein present in nerve?,Is RNA present in glia?,Is protein present in glia?,Is RNA distribution cell-type specific?,Is protein distribution cell-type specific?,Is figure quality too poor?,General comments
0,2140146,Low,Low,Single transcripts,Punctate,None,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,
1,2140158,Low,Low,Single transcripts,Punctate,None,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,
2,2140292,None,None,,,None,None,No,No,No,No,No,No,No,No,No,Doesn't seem to be expressed
3,2140154,Low,Moderate,Single transcripts,Punctate	Nuclear,None,Low,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Contrasting looks all wrong
4,2140137,High,High,Evenly distributed	More in some cells than others,Cell edges,Moderate,High,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Nerve images are massivley saturated
5,2140280,Low,Moderate,Single transcripts,Cell edges	Large aggregations,Low,None,Yes,No,No,Yes,Yes,Yes,glia,No,No,
6,2140162,Low,Low,Single transcripts,Punctate	Cell edges,None,Low,Yes,No,Yes,Yes,Yes,No,No,nerve,No,Nerve images could be slightly recontrasted. Glia image zoomed in a bit?
7,2140170,High,High,Evenly distributed,Punctate	Cell edges	Large aggregations,None,High,No,No,Yes,Yes,Yes,Yes,No,No,No,
8,2140273,Moderate,Moderate,Evenly distributed,Punctate	Large aggregations,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,No,No,No,
9,2140210,Low,High,Single transcripts,Cell edges	Diffuse	Large aggregations,Low,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,
10,2140261,Low,Low,Single transcripts,Punctate,None,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,
11,2140202,None,Low,,Punctate,None,None,Yes,No,No,Yes,No,Yes,No,No,No,
12,2140257,None,None,,,None,None,No,No,No,No,No,No,No,No,No,"Doesn't seem to be expressed
"
13,2143384,Low,None,Single transcripts	Nuclear	More in some cells than others,,None,None,Yes,No,No,No,Yes,No,glia,No,No,
14,2140183,High,High,Evenly distributed,Large aggregations,None,High,No,No,Yes,Yes,No,No,No,No,Yes,"Not sure RNA signal is real, very faint. Also not sure those are actually glia in the glia images. "
15,2140234,Moderate,None,Single transcripts,,None,Low,Yes,No,Yes,No,Yes,No,No,No,Yes,The merge image for the nerve needs to be recontrasted. It looks like there is protein signal but that's not the case in the protein panel. Something is up. 
16,2140245,Low,Low,Single transcripts,Diffuse,None,Low,No,No,No,No,Yes,Yes,glia,glia,No,Hard to see RNA signal
17,2140238,None,None,,,None,None,No,No,No,No,No,No,No,No,No,Doesn't seem to be expressed
18,2140226,Low,Moderate,Single transcripts,Punctate,None,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,
19,2140191,Low,Moderate,Single transcripts,Diffuse	Cell type specific,None,Low,No,No,No,No,Yes,Yes,glia,glia,No,
20,2140300,Low,High,Single transcripts,Punctate	Diffuse,Low,Moderate,No,No,Yes,Yes,Yes,Yes,No,No,No,
21,2140200,None,None,,,None,None,No,No,No,No,No,No,No,No,No,Not expressed
22,2140263,Moderate,Low,Evenly distributed,Punctate,High,Moderate,No,No,Yes,Yes,Yes,Yes,No,No,No,
23,2140212,None,None,,,None,None,No,No,No,No,No,No,No,No,No,Doesn't seem to be expressed
24,2140271,Low,None,Single transcripts	More in some cells than others,,Moderate,Low,Yes,No,Yes,No,Yes,No,No,No,No,
25,2140259,Low,None,Single transcripts	Cell type specific,,None,Low,Yes,No,Yes,No,No,No,nerve,No,No,
26,2140224,Moderate,Moderate,Single transcripts	More in some cells than others,Diffuse	Large aggregations,None,Moderate,No,No,Yes,No,Yes,Yes,No,glia,No,
27,2140193,Moderate,High,Evenly distributed,Punctate	Diffuse,None,Moderate,No,No,Yes,Yes,Yes,Yes,No,No,No,
28,2143385,High,Moderate,Evenly distributed,Punctate,Moderate,High,No,No,Yes,Yes,Yes,Yes,No,No,No,
29,2143386,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,NOT SCORED: Figure the same as previous one
30,2140236,Moderate,Low,Single transcripts	Nuclear,Punctate,Low,Low,No,No,No,No,Yes,Yes,glia,glia,No,
31,2140255,None,None,,,None,None,No,No,No,No,No,No,No,No,No,Doesn't seem to be expressed
32,2140228,Low,High,Single transcripts,Diffuse,None,Low,Yes,No,Yes,Yes,Yes,No,No,nerve,No,
33,2140148,Moderate,Moderate,Single transcripts	Nuclear,Punctate	Large aggregations,High,Moderate,No,No,Yes,Yes,Yes,Yes,No,No,No,
34,2140282,Low,None,Single transcripts,,Low,Low,No,No,Yes,No,Yes,No,No,No,No,Needs better contrasting
35,2140156,Low,Moderate,Single transcripts,Punctate	Large aggregations,None,Low,No,No,Yes,Yes,No,Yes,nerve,No,No,
36,2140290,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,NOT SCORED: overall quality is poor. Hard to see where nerve is. 
37,2140144,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,NOT SCORED: quality is very poor. 
38,2140139,Low,Moderate,Single transcripts,Punctate	Other,None,Low,No,No,Yes,Yes,No,Yes,nerve,No,No,Not sure there's a great shot of the glia in this one. 
39,2140172,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,"Is at NMJ, needs to be zoomed. No signal so doesn't seem to be expressed. "
40,2140160,Moderate,High,Evenly distributed	Nuclear,Large aggregations,None,Moderate,No,No,Yes,Yes,Yes,No,No,nerve,No,
41,2140185,None,Moderate,,Punctate	Cell edges	Large aggregations,None,None,Yes,No,No,Yes,No,Yes,No,No,No,
42,2140232,High,None,Evenly distributed,,Low,High,Yes,No,Yes,No,Yes,No,No,No,No,
43,2140251,High,High,Single transcripts	More in some cells than others,Diffuse	Large aggregations,High,High,No,No,Yes,Yes,Yes,Yes,No,No,No,
44,2140220,Low,Moderate,Single transcripts	More in some cells than others,Large aggregations	Cell type specific,None,Low,No,No,No,No,Yes,Yes,glia,glia,No,
45,2140197,Moderate,Moderate,Evenly distributed,Diffuse	Cell type specific,Low,Moderate,Yes,No,Yes,No,Yes,Yes,No,glia,No,
