,figure_id,What is the level of RNA expression?,What is the level of protein expression?,What patterns does the RNA make?,What patterns does the protein make?,Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in nerve?,Is protein present in nerve?,Is RNA present in glia?,Is protein present in glia?,Is RNA distribution cell-type specific?,Is protein distribution cell-type specific?,Is figure quality too poor?,General comments
0,2140146,Moderate,Low,Evenly distributed,Punctate,Low,Moderate,No,No,Yes,Yes,Yes,Yes,No,No,No,
1,2140158,Low,Low,Single transcripts,Punctate	Diffuse,None,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,"Very faint single molecules, not sure what is RNA signal and what is not."
2,2140292,None,None,,,None,None,No,No,No,No,No,No,No,No,No,No RNA or protein visible.
3,2140154,Low,Moderate,Evenly distributed,Punctate,Low,Moderate,No,No,Yes,Yes,Yes,Yes,No,No,Yes,"Very strange image, looks almost like reversed colour?"
4,2140137,Moderate,Low,Evenly distributed,Diffuse,None,Moderate,No,No,Yes,Yes,Yes,Yes,No,No,No,
5,2140280,Low,Moderate,Single transcripts,Cell edges	Diffuse,High,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,
6,2140162,Low,None,Single transcripts,Other,None,None,No,No,Yes,No,Yes,No,No,No,No,Seems like protein is in the trachea.
7,2140170,Moderate,Moderate,Evenly distributed,Punctate	Cell edges,Low,Moderate,No,No,Yes,Yes,Yes,Yes,No,No,No,
8,2140273,Moderate,Moderate,Evenly distributed,Nuclear,Moderate,Moderate,No,No,No,No,Yes,Yes,glia,glia,No,"Protein nuclear, present only in and around glial nuclei."
9,2140210,Moderate,Moderate,Evenly distributed,Cell edges	Diffuse,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,No,No,No,Protein seems to be everywhere in the nerve and glia.
10,2140261,Moderate,Low,Single transcripts,Punctate	Cell edges,None,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,Seems like more RNA and protein in glia.
11,2140202,Low,Low,Single transcripts,Punctate,None,Low,No,No,Yes,Yes,Yes,Yes,No,No,Yes,There seems to be debris visible in both protein and RNA channels and I cannot distinguish which one is an RNA molecule and which one is a protein spot.
12,2140257,None,None,,,None,None,No,No,No,No,No,No,No,No,No,No RNA or protein visible.
13,2143384,Low,None,Single transcripts,,Low,None,No,No,No,No,Yes,No,glia,No,No,There's only a single spot of RNA in the glial cell nucleus and that's it.
14,2140183,Low,High,Other,Cell edges,None,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,"I don't see single molecules of RNA, it's all kind of grainy. Not sure where to look to find glia, image a bit unclear."
15,2140234,Moderate,Low,Single transcripts,Diffuse,Low,Low,Yes,No,No,No,Yes,No,glia,No,No,"I don't think there's any protein at all but not sure, the signal is faint and diffuse. RNA on the outside of the nerve - probably in glia."
16,2140245,Low,Moderate,Single transcripts,Nuclear,Low,Low,No,No,Yes,No,Yes,Yes,No,No,Yes,Protein nuclear. Figure quality not so good.
17,2140238,Low,None,Single transcripts,,Low,Low,No,No,Yes,No,Yes,No,No,No,Yes,"No protein signal at all, RNA is very very grainy."
18,2140226,Moderate,Moderate,Evenly distributed	Single transcripts,Punctate	Cell edges,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,No,No,No,Protein in punctate in the glia and cell edges in the nerve.
19,2140191,Low,Moderate,Single transcripts,Nuclear,Low,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,"Protein is nuclear, prominent in glial nuclei."
20,2140300,Low,Low,Single transcripts,Diffuse,High,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,
21,2140200,Low,None,Single transcripts,Other,Low,Low,No,No,No,No,Yes,No,No,No,Yes,"Very dim signal, almost no signal in the nerve RNA channel."
22,2140263,Moderate,Low,Evenly distributed	Single transcripts,Diffuse,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,nerve,No,No,More RNA in the nerve than in glia.
23,2140212,Low,None,Single transcripts,,None,Low,No,No,Yes,No,Yes,No,No,No,No,
24,2140271,Low,None,Nuclear,,Moderate,Low,Yes,No,Yes,No,Yes,No,glia,No,No,"More RNA in glia, might be because there is a nucleus there and not in the nerve of course."
25,2140259,Low,None,Single transcripts,,None,Low,Yes,No,Yes,No,Yes,No,No,No,No,Protein channels completely empty.
