figure_id,What is the level of RNA expression?,What is the level of protein expression?,What patterns does the RNA make?,What patterns does the protein make?,Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in axon terminal?,Is protein present in axon terminal?,Is RNA present in muscle?,Is protein present in muscle?,Is RNA present in post synaptic density?,Is protein present in post synaptic density?,Is RNA present in neuron?,Is protein present in neuron?,Is RNA distribution cell-type specific?,Is protein distribution cell-type specific?,Is figure quality too poor?,General comments
2125613,Low,None,"Single transcripts	Nuclear",Cell edges,Low,Low,Yes,No,No,No,No,No,No,No,No,Yes,No,neuron,Yes,No label for what is shown in red (dlg?)
2125621,Moderate,High,Nuclear,"Nuclear	Diffuse	Cytoskeleton (muscle fibres)",High,None,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,
2137763,High,High,"Evenly scattered	Single transcripts","Diffuse	Cytoskeleton (muscle fibres)",Moderate,High,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,
2137797,Moderate,Moderate,Evenly scattered,Cytoskeleton (muscle fibres),High,Moderate,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,muscle,No,
2137799,Low,Low,Single transcripts,Punctate,Low,None,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,
2137802,Moderate,Low,Single transcripts,Punctate,High,Low,Yes,No,No,No,Yes,Yes,No,No,No,No,muscle,muscle,No,
2137819,High,Moderate,"Single transcripts	Nuclear	Perinuclear (muscle)",Cytoskeleton (muscle fibres),Moderate,High,No,No,No,No,Yes,Yes,Yes,No,No,No,No,muscle,No,
2137821,Low,Moderate,Single transcripts,Nuclear,Low,Low,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,
2137822,Low,Moderate,Nuclear,Other,High,None,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Other cells,neuron,Yes,"Unclear if RNA signal in the muscle is real. Needs to be looked at in detail and rescored
"
2137825,Moderate,High,"Single transcripts	Nuclear	Perinuclear (muscle)","Diffuse	Cytoskeleton (muscle fibres)",High,Moderate,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,
2137826,High,High,Evenly scattered,"Punctate	Cytoskeleton (muscle fibres)",High,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,
2137828,Moderate,Low,Single transcripts,Punctate,None,Moderate,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,"No nuclei in shot, can't judge transcription"
2137829,Low,Moderate,Single transcripts,Other,Low,Low,No,No,No,No,No,No,Yes,No,Yes,Yes,No,neuron,No,
2137830,High,Low,Evenly scattered,Nuclear,Low,High,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Protein is seemingly only nucleolar
2137831,Moderate,Low,"Single transcripts	Nuclear","Punctate	Diffuse",High,Moderate,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,muscle,No,
2137832,Low,Moderate,Single transcripts,"Diffuse	Cytoskeleton (muscle fibres)",Moderate,Low,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,
2137833,Low,Moderate,Single transcripts,"Punctate	Nuclear",Moderate,Low,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,muscle,No,
2137834,High,High,Evenly scattered,"Punctate	Cytoskeleton (muscle fibres)",Moderate,High,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,muscle,No,
2137835,Moderate,Low,Single transcripts,Punctate,Low,Moderate,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,neuron,No,
2137836,Low,Low,Single transcripts,Punctate,Moderate,Low,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,
2137837,High,High,Evenly scattered,Cytoskeleton (muscle fibres),Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,
2137839,Low,None,Nuclear,None,Moderate,None,Yes,No,No,No,No,No,No,No,No,No,muscle,No,No,
2137840,Low,Low,Other,Punctate,Moderate,None,Yes,No,Yes,Yes,No,No,No,No,No,No,No,neuron,No,Large RNA and protein accumulation in one bouton? Worth looking at data to figure out whats going on
2137841,Low,Moderate,Nuclear,"Cell edges	Diffuse",Moderate,Low,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Axon terminal,No,
2137842,Low,Moderate,Nuclear,"Diffuse	Cytoskeleton (muscle fibres)",Moderate,None,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,HRP didn't work? 
2137843,Low,Low,"Single transcripts	Nuclear","Punctate	Cell edges",Moderate,Low,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No HRP?
2137844,Moderate,High,Single transcripts,"Punctate	Cytoskeleton (muscle fibres)",High,Low,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,
2137845,Moderate,Low,Evenly scattered,Nuclear,High,Moderate,Yes,No,No,No,Yes,No,Yes,No,No,No,No,muscle,No,"White strand across the image, need to pick a different z? Also no HRP"
2137847,Low,Low,Nuclear,"Diffuse	Cytoskeleton (muscle fibres)",Low,Low,No,No,No,No,Yes,Yes,No,No,No,No,muscle,muscle,No,
2137849,High,Low,"Evenly scattered	Nuclear","Nuclear	Cytoskeleton (muscle fibres)",High,Moderate,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,muscle,No,
2137852,Low,High,Nuclear,Cytoskeleton (muscle fibres),High,None,Yes,No,No,No,No,Yes,No,No,No,No,muscle,muscle,No,
2137853,High,Moderate,Evenly scattered,"Punctate	Diffuse",Low,High,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Large white spot in RNA channel. Real? If not it should be cut out of the image
2137854,None,High,Nuclear,Cytoskeleton (muscle fibres),Moderate,None,Yes,No,No,No,No,Yes,No,No,No,No,muscle,muscle,No,"Blue could be more prominent, hard to see the neuron"
2137855,Low,Low,"Single transcripts	Nuclear",Cytoskeleton (muscle fibres),Low,Low,Yes,No,No,No,Yes,Yes,No,No,No,No,No,muscle,Yes,"Not sure if it's a low signal problem but it's hard to pick out the RNA, might benefit from recontrasting
"
2137856,High,High,Evenly scattered,Cytoskeleton (muscle fibres),Moderate,High,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,muscle,No,
2137857,Moderate,Low,"Single transcripts	Nuclear",Other,High,Moderate,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,neuron,No,
2137858,Moderate,Low,Evenly scattered,"Punctate	Nuclear",Moderate,Moderate,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Protein is at edge of nucleus - nuclear envelope function?
2137859,High,Moderate,Evenly scattered,"Punctate	Cell edges",Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,
2137860,Moderate,Moderate,Evenly scattered,Other,None,Moderate,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,"a little hazy. Might need some recontrasting. HRP not there, label needs to be changed"
2137861,High,High,Evenly scattered,"Punctate	Cytoskeleton (muscle fibres)",Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,
2137862,High,Moderate,Evenly scattered,Punctate,Moderate,High,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,
2137863,Low,None,Single transcripts,None,Low,None,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,
2137864,Low,Low,Single transcripts,Nuclear,Low,Low,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,It's not great. Think it needed more z's. 
